region,stand_lat,stand_lon,trips_at_stand,ratio,Taxi Rank Name - English
Airport / Garhoud / Festival City / Creek,25.243703,55.346579,31,0.0014482597523943,"RTA Taxi Rank Al Garhoud, Emirates Co op Socity"
Airport / Garhoud / Festival City / Creek,25.227824,55.321251,109,0.0050922681616444,"RTA Taxi Rank Umm Hurair - 2, Raffles Hotel"
Airport / Garhoud / Festival City / Creek,25.250858,55.332997,226,0.0105582807755197,RTA Taxi Rank City Centre Deira
Airport / Garhoud / Festival City / Creek,25.224273,55.351796,361,0.0168652184069142,RTA Taxi Rank Festival City Mall
Airport / Garhoud / Festival City / Creek,25.232951,55.385168,26,0.00121466946975,RTA Taxi Rank Bin Sougat Shopping Centre
Airport / Garhoud / Festival City / Creek,25.229532,55.319248,410,0.0191544031768278,RTA Taxi Rank Wafi Mall
Airport / Garhoud / Festival City / Creek,25.219494,55.338303,30,0.0014015416958654,RTA Taxi Rank Creek Metro Station
Airport / Garhoud / Festival City / Creek,25.250201,55.344459,139,0.0064938098575099,RTA Taxi Rank Garhoud Near Millennium Airport Hotel
Airport / Garhoud / Festival City / Creek,25.242019,55.366098,36,0.0016818500350385,RTA Taxi Rank Emirates HQ
Airport / Garhoud / Festival City / Creek,25.223393,55.35665,340,0.0158841392198084,RTA Taxi Rank IKEA - Festival Center A
Airport / Garhoud / Festival City / Creek,25.22314,55.356545,340,0.0158841392198084,RTA Taxi Rank IKEA - Festival Center B
Airport / Garhoud / Festival City / Creek,25.24947921,55.3455928,63,0.0029432375613174,RTA Taxi Rank Endocrinologist Dubai Prime Hospital
Airport / Garhoud / Festival City / Creek,25.24727744,55.33958297,56,0.0026162111656155,RTA Taxi Rank Mediclinic Welcare Hospital
Airport / Garhoud / Festival City / Creek,25.24222326,55.36081911,77,0.0035972903527213,RTA Taxi Rank Circle K Store Holiday Inn Hotel
Airport / Garhoud / Festival City / Creek,25.23505,55.355183,16,0.0007474889044615,RTA Taxi Rank Dubai Court Personal Status Court
Airport / Garhoud / Festival City / Creek,,,19145,0.8944171922448027,
Al Barsha,25.098519,55.205362,200,0.0151871820183764,RTA Taxi Rank Al Barsha Mall 
Al Barsha,25.118107,55.200608,17,0.001290910471562,RTA Taxi Rank Mall Of Emirates
Al Barsha,25.120161,55.201598,179,0.0135925279064469,RTA Taxi Rank Mall Of The Emirates Metro Station Landside
Al Barsha,25.115386,55.190077,36,0.0027336927633077,RTA Taxi Rank Mashreq Metro Station Seaside
Al Barsha,25.11459,55.191135,450,0.0341711595413471,RTA Taxi Rank Mashreq Metro Station Landside
Al Barsha,25.109234,55.203023,198,0.0150353101981927,"RTA Taxi Rank Sama Building , Al Barsha"
Al Barsha,25.111982,55.218784,20,0.0015187182018376,RTA Taxi Rank Umm Suqeim Street
Al Barsha,25.10686284,55.18202891,31,0.0023540132128483,RTA Taxi Rank Near Al Zahra Hospital
Al Barsha,25.109086,55.203145,220,0.0167059002202141,RTA Taxi Rank City Star Hotel
Al Barsha,,,11818,0.8974105854658668,
Al Quoz,25.170001,55.24116,280,0.0768386388583973,RTA Taxi Rank Oasis Center
Al Quoz,,,3364,0.9231613611416026,
Al Qusais / Al Nahda / Muhaisnah,25.274128,55.367975,70,0.0053484107579462,"RTA Taxi Rank Al Qusais -1, Al Bustan Center"
Al Qusais / Al Nahda / Muhaisnah,25.2716,55.371133,13,0.0009932762836185,"RTA Taxi Rank Al Tawar -1, Union Coop Society"
Al Qusais / Al Nahda / Muhaisnah,25.281958,55.39761,15,0.0011460880195599,RTA Taxi Rank Madina Mall 
Al Qusais / Al Nahda / Muhaisnah,25.279075,55.361808,282,0.0215464547677261,"RTA Taxi Rank Qusais, Lulu Hypermarket"
Al Qusais / Al Nahda / Muhaisnah,25.268897,55.375557,136,0.0103911980440097,RTA Taxi Rank Dubai Airport Free Zone Metro Station 1
Al Qusais / Al Nahda / Muhaisnah,25.262687,55.386166,264,0.0201711491442542,RTA Taxi Rank Al Qusais Metro Station 1
Al Qusais / Al Nahda / Muhaisnah,25.273472,55.368161,81,0.0061888753056234,RTA Taxi Rank Al Nahda Metro Station 1
Al Qusais / Al Nahda / Muhaisnah,25.276397,55.362748,42,0.0032090464547677,RTA Taxi Rank Stadium Metro Station 1
Al Qusais / Al Nahda / Muhaisnah,25.296851,55.370199,913,0.0697585574572127,"RTA Taxi Rank Behind Sahara Center, Al Nahda 1"
Al Qusais / Al Nahda / Muhaisnah,25.298405,55.380486,557,0.0425580684596577,"RTA Taxi Rank Near Dubai Carmel School, Al Amman Street"
Al Qusais / Al Nahda / Muhaisnah,25.28286469,55.38868009,69,0.0052720048899755,RTA Taxi Rank Dubai Residential Oasis
Al Qusais / Al Nahda / Muhaisnah,25.27319408,55.38145335,143,0.0109260391198044,RTA Taxi Rank Dubai Grand Hotel By Fortune
Al Qusais / Al Nahda / Muhaisnah,25.28142523,55.41129326,22,0.0016809290953545,RTA Taxi Rank Lulu Village
Al Qusais / Al Nahda / Muhaisnah,25.28258,55.372335,184,0.0140586797066014,RTA Taxi Rank Al Nahda Fitness Centre
Al Qusais / Al Nahda / Muhaisnah,,,10297,0.7867512224938875,
Bur Dubai,25.252189,55.302387,252,0.0167330677290836,RTA Taxi Rank Burjman Centre A
Bur Dubai,25.255438,55.304969,285,0.0189243027888446,RTA Taxi Rank Burjuman Metro Station D
Bur Dubai,25.245147,55.298246,148,0.0098273572377158,RTA Taxi Rank ADCB Metro Station Seaside
Bur Dubai,25.245274,55.298922,65,0.0043160690571049,RTA Taxi Rank ADCB Metro Station Landside
Bur Dubai,25.257434,55.296989,396,0.0262948207171314,RTA Taxi Rank Sharaf DG Metro Station B 2
Bur Dubai,25.25246,55.291681,180,0.0119521912350597,RTA Taxi Rank Mankhool Road Near Standard Chartered Tower
Bur Dubai,25.261755,55.288714,81,0.0053784860557768,RTA Taxi Rank Al Ghubaiba Bus Station Backside
Bur Dubai,25.252164,55.302416,259,0.0171978751660026,RTA Taxi Rank Burjuman Center B
Bur Dubai,25.261776,55.28874,81,0.0053784860557768,RTA Taxi Rank Al Ghubaibah Taxi Station Backside
Bur Dubai,25.252236,55.309019,43,0.0028552456839309,RTA Taxi Rank Ansar Gallery
Bur Dubai,25.256451,55.305663,80,0.0053120849933598,RTA Taxi Rank RAK Bank Near Burjuman Metro Station
Bur Dubai,,,13190,0.8758300132802125,
DIFC,25.216855,55.280354,304,0.0386227925295388,RTA Taxi Rank Emirates Towers Metro Station Landside
DIFC,25.211724,55.274838,329,0.0417990090204548,RTA Taxi Rank Financial Centre Metro Station Seaside
DIFC,25.211297,55.276043,427,0.0542497776648456,RTA Taxi Rank Financial Centre Metro Station Landside
DIFC,25.208492,55.272459,252,0.0320162622284334,RTA Taxi Rank Shangri-La Hotel
DIFC,25.206799,55.272998,102,0.0129589632829373,RTA Taxi Rank Dusit Thani Hotel
DIFC,25.209235,55.274458,201,0.0255367805869648,RTA Taxi Rank Carlton Downtown Hotel
DIFC,25.210024,55.274986,208,0.0264261212044212,RTA Taxi Rank Grand Stay Hotel
DIFC,25.210274,55.276242,147,0.0186761529665862,RTA Taxi Rank Financial Centre Metro Station B
DIFC,25.21207,55.276378,508,0.0645407190954135,RTA Taxi Rank Rose Rayhaan By Rotana Hotel
DIFC,25.212538,55.276713,432,0.0548850209630288,RTA Taxi Rank Gevora Hotel
DIFC,,,4961,0.6302884004573752,
Deira,25.289638,55.346959,43,0.0017459092939217,"RTA Taxi Rank - Al Mamzar, Century Mall"
Deira,25.278079,55.346062,128,0.0051971253400462,"RTA Taxi Rank Hor Al Anz East, Abu Hail Center"
Deira,25.281348,55.357134,14,0.0005684355840675,"RTA Taxi Rank Al Nahda -1, Al Mulla Plaza"
Deira,25.266924,55.317057,208,0.0084453286775752,"RTA Taxi Rank Al Muraqqbat, Al Ghurair City A"
Deira,25.268534,55.317864,115,0.0046692922976978,"RTA Taxi Rank Al Muraqqbat, Al Ghurair City B"
Deira,25.259693,55.318158,46,0.0018677169190791,"RTA Taxi Rank Riggat Al Buteen, Hilton Dubai Creek"
Deira,25.270147,55.322401,295,0.0119777498071379,RTA Taxi Rank Al Reef Mall 
Deira,25.263424,55.323447,532,0.0216005521945673,RTA Taxi Rank Al Rigga Metro Station A
Deira,25.266278,55.315183,537,0.0218035649031629,RTA Taxi Rank Union Metro Station
Deira,25.279183,55.352021,122,0.0049535100897316,RTA Taxi Rank Al Qiyadah Metro Station Seaside
Deira,25.276212,55.34732,57,0.0023143448779893,RTA Taxi Rank Abu Hail Metro Station Seaside A
Deira,25.27624,55.346146,59,0.0023955499614275,RTA Taxi Rank Abu Hail Metro Station B
Deira,25.275307,55.347157,52,0.0021113321693938,RTA Taxi Rank Abu Hail Metro Station C
Deira,25.291471,55.323995,127,0.0051565227983271,"RTA Taxi Rank Khaleej Road, Waterfront Market"
Deira,25.271211,55.305302,75,0.0030451906289333,RTA Taxi Rank Souq Naif
Deira,25.27793672,55.34886644,101,0.0041008567136302,RTA Taxi Rank Canadian Specialist Hospital
Deira,25.29166,55.311688,0,0.0,"RTA Taxi Rank Deira Palm, Night Market 1"
Deira,25.298022,55.345618,5,0.0002030127085955,RTA Taxi Rank Seniors Happiness Centre
Deira,25.270999,55.316488,111,0.0045068821308213,RTA Taxi Rank Claridge Hotel Dubai 
Deira,25.270472,55.318509,159,0.0064558041333387,RTA Taxi Rank Salah Al Din Metro Station 2
Deira,25.2708,55.333412,89,0.0036136262130009,RTA Taxi Rank Abu Baker Al Siddique Metro Station 1
Deira,,,21754,0.8832676925575541,
Downtown Dubai / Business Bay,25.189962,55.280704,248,0.0096780487804878,"RTA Taxi Rank Business Bay, Downtown Burj Dubai - Building 3"
Downtown Dubai / Business Bay,25.197642,55.27871,481,0.018770731707317,RTA Taxi Rank Dubai Mall
Downtown Dubai / Business Bay,25.200089,55.268402,71,0.002770731707317,RTA Taxi Rank Burj Khalifa/ Dubai Mall Metro Station Landside A
Downtown Dubai / Business Bay,25.200639,55.269566,708,0.0276292682926829,RTA Taxi Rank Burj Khalifa/ Dubai Mall Metro Station Landside B
Downtown Dubai / Business Bay,25.192325,55.259923,469,0.0183024390243902,RTA Taxi Rank Business Bay Metro Station Seaside
Downtown Dubai / Business Bay,25.190709,55.260044,501,0.0195512195121951,RTA Taxi Rank Business Bay Metro Station Landside
Downtown Dubai / Business Bay,25.18993,55.27416,57,0.0022243902439024,RTA Taxi Rank Vida Downtown Dubai
Downtown Dubai / Business Bay,25.1858492,55.26527169,85,0.0033170731707317,RTA Taxi Rank Deyaar Development PJSC (Sales Center)
Downtown Dubai / Business Bay,25.19961089,55.26961725,74,0.0028878048780487,RTA Taxi Rank Burj Khalifa/Dubai Mall Metro Station D
Downtown Dubai / Business Bay,25.191612,55.258374,12,0.0004682926829268,RTA Taxi Rank Emarat Petrol HQ
Downtown Dubai / Business Bay,,,22919,0.8944,
Dubai Marina,25.073294,55.130559,402,0.021603611349957,RTA Taxi Rank Opp. Amwaj Rotana 
Dubai Marina,25.075571,55.131841,403,0.0216573516766981,RTA Taxi Rank Sofitel
Dubai Marina,25.090815,55.147777,320,0.0171969045571797,RTA Taxi Rank Opp. Le Royal Meridien 
Dubai Marina,25.085849,55.14174,177,0.00951203783319,RTA Taxi Rank Opp. Al Habtoor Grand Hotel
Dubai Marina,25.083523,55.140719,211,0.0113392089423903,RTA Taxi Rank Opp. Grand Residence A
Dubai Marina,25.083249,55.140057,124,0.0066638005159071,RTA Taxi Rank Opp. Grand Residence B
Dubai Marina,25.078832,55.144072,110,0.0059114359415305,RTA Taxi Rank Opp. Sukoon Tower
Dubai Marina,25.086546,55.149696,33,0.0017734307824591,RTA Taxi Rank Opp. Tram Number 6 
Dubai Marina,25.07643,55.140504,512,0.0275150472914875,RTA Taxi Rank Dubai Marina Mall
Dubai Marina,25.081455,55.14712,108,0.0058039552880481,RTA Taxi Rank Sobha Realty Metro Station Seaside
Dubai Marina,25.071525,55.137381,324,0.0174118658641444,RTA Taxi Rank DMCC Metro Station Seaside
Dubai Marina,25.06930493,55.14349716,144,0.0077386070507308,RTA Taxi Rank JLT Gold Tower
Dubai Marina,25.071991,55.127904,163,0.0087596732588134,RTA Taxi Rank DoubleTree By Hilton Jumeirah
Dubai Marina,,,15577,0.8371130696474635,
Dubai Parks,24.914563,55.011472,53,0.2103174603174603,RTA Taxi Rank Dubai Outlet Village
Dubai Parks,24.915753,55.007915,5,0.0198412698412698,RTA Taxi Rank Bollywood Parks Dubai Park & Resorts
Dubai Parks,24.921158,55.008388,103,0.4087301587301587,RTA Taxi Rank Motiongate Dubai- Dubai Parks And Resorts 
Dubai Parks,,,91,0.3611111111111111,
Dubai Silicon Oasis,,,3634,1.0,
Dubai South,24.885799,55.15677,140,0.45016077170418,RTA Taxi Rank Al Maktoum International Airport
Dubai South,,,171,0.5498392282958199,
Dubailand,25.05711,55.271085,30,0.0098135426889106,RTA Taxi Rank Arabian Ranches Community Center
Dubailand,25.072645,55.306568,808,0.2643114164213281,RTA Taxi Rank Global Village
Dubailand,,,2219,0.7258750408897612,
International City / Warqa,25.193895,55.406168,22,0.0037427696495406,"RTA Taxi Rank Al Warqa -1, Al Mass Supermarket"
International City / Warqa,25.17376,55.413906,70,0.0119088125212657,RTA Taxi Rank Dragon Mart
International City / Warqa,,,5786,0.9843484178291936,
Internet City,25.095254,55.166918,137,0.0133398247322297,RTA Taxi Rank Emirates Hills Second (Emaar Buildings) Emaar Business Park Buildings
Internet City,25.099459,55.172341,123,0.0119766309639727,RTA Taxi Rank Dubai Internet City Metro Station Landside
Internet City,25.101936,55.171947,629,0.0612463485881207,RTA Taxi Rank Dubai Internet City Metro Station Seaside
Internet City,25.089324,55.156815,147,0.0143135345666991,RTA Taxi Rank Al Khail Metro Station Seaside
Internet City,25.089288,55.158908,10,0.0009737098344693,RTA Taxi Rank Al Khail Metro Station Landside
Internet City,25.094947,55.154394,100,0.0097370983446932,RTA Taxi Rank King Salman Bin Abdulaziz Al Soud St.
Internet City,25.095731,55.177456,53,0.0051606621226874,RTA Taxi Rank Al Thaniya Street Barsha Heights
Internet City,25.103122,55.17139,255,0.0248296007789678,RTA Taxi Rank Gloria Hotel 
Internet City,25.101627,55.177249,241,0.0234664070107108,RTA Taxi Rank Grand Millennium Hotel Dubai
Internet City,25.101013,55.16942,170,0.0165530671859785,RTA Taxi Rank Internet City Al Jaddi Street
Internet City,,,8405,0.8184031158714703,
Jebel Ali,25.045643,55.117669,695,0.0894005659891947,RTA Taxi Rank Ibn Batutta Mall Metro Station
Jebel Ali,25.026041,55.09971,1,0.0001286339078981,RTA Taxi Rank Energy Metro Station Seaside
Jebel Ali,25.025308,55.101136,5,0.0006431695394906,RTA Taxi Rank Energy Metro Station Landside
Jebel Ali,25.000319,55.09595,123,0.015821970671469,RTA Taxi Rank Danube Metro Station Landside
Jebel Ali,24.97767,55.088664,12,0.0015436068947774,"RTA Taxi Rank UAE Exchange Metro Station, Seaside  (Inside Jebel Ali Port)"
Jebel Ali,24.976919,55.09116,74,0.009518909184461,"RTA Taxi Rank UAE Exchange, Landside"
Jebel Ali,25.044048,55.134959,225,0.0289426292770774,RTA Taxi Rank Discovery Garden 1
Jebel Ali,25.044164,55.133608,46,0.0059171597633136,RTA Taxi Rank Discovery Garden 2
Jebel Ali,25.035241,55.145644,207,0.0266272189349112,RTA Taxi Rank Discovery Garden 3
Jebel Ali,25.034153,55.146393,17,0.002186776434268,RTA Taxi Rank Discovery Garden 4
Jebel Ali,25.030705,55.152477,105,0.0135065603293028,RTA Taxi Rank Discovery Garden 5
Jebel Ali,25.030818,55.151135,59,0.0075894005659891,RTA Taxi Rank Discovery Garden 6
Jebel Ali,25.005012,55.155437,471,0.0605865706200154,RTA Taxi Rank DIP Metro Station Gate2A
Jebel Ali,25.04911355,55.12793376,13,0.0016722408026755,RTA Taxi Rank Discovery Gardens
Jebel Ali,25.004211,55.155189,254,0.0326730126061229,RTA Taxi Rank DIP Metro Station Gate 2B
Jebel Ali,25.006111,55.15568,243,0.0312580396192436,RTA Taxi Rank DIP Metro Station Gate 2A
Jebel Ali,25.0041,55.155572,231,0.0297144327244661,RTA Taxi Rank DIP Metro Station Gate 1
Jebel Ali,25.057292,55.127001,31,0.0039876511448417,RTA Taxi Rank Jebel Ali Metro Station Landside
Jebel Ali,,,4962,0.6382814509904811,
Jumeirah,25.187211,55.238977,20,0.0087412587412587,"RTA Taxi Rank Jumeirah - 3, Union Co-op Society"
Jumeirah,25.217066,55.252515,148,0.0646853146853146,RTA Taxi Rank Mercato Shopping Centre
Jumeirah,25.202235,55.240601,173,0.0756118881118881,RTA Taxi Rank Four Seasons Resort Dubai At Jumeirah Beav
Jumeirah,,,1947,0.8509615384615384,
Mirdif,25.231387,55.418266,4,0.0021459227467811,"RTA Taxi Rank Mirdif, West Zone"
Mirdif,25.215272,55.409446,240,0.1287553648068669,RTA Taxi Rank City Centre Mirdif
Mirdif,25.211504,55.417871,34,0.0182403433476394,"RTA Taxi Rank Ghoroob, Mirdif"
Mirdif,25.224303,55.424004,110,0.0590128755364806,"RTA Taxi Rank Mirdif, Uptown Shopping Centre"
Mirdif,,,1476,0.7918454935622318,
Palm Jumeirah,25.116871,55.136336,26,0.0039322444041137,RTA Taxi Rank The Palm Jumeirah
Palm Jumeirah,,,6586,0.9960677555958862,
WTC,25.233136,55.290629,130,0.0167439464193714,RTA Taxi Rank Max Metro Station Seaside
WTC,25.231416,55.292624,18,0.0023183925811437,RTA Taxi Rank Max Metro Station Landside B
WTC,25.224631,55.283507,142,0.0182895414734672,RTA Taxi Rank World Trade Centre Metro Station Seaside
WTC,25.225808,55.285875,27,0.0034775888717156,RTA Taxi Rank World Trade Centre Metro Station Landside
WTC,25.22940049,55.2869376,495,0.0637557959814528,RTA Taxi Rank Sheraton Grand Hotel
WTC,25.234252,55.301575,236,0.0303967027305512,RTA Taxi Rank Dubai Frame Zabeel Park
WTC,25.229243,55.286041,543,0.0699381761978361,RTA Taxi Rank Duja Tower 
WTC,25.221078,55.28105,348,0.0448222565687789,RTA Taxi Rank Commercial Tower
WTC,,,5825,0.7502575991756827,
